device_sn,sensor,port,datetime,precipitation.value,precipitation.error_flag,precipitation.error_description,atmospheric_pressure.value,atmospheric_pressure.error_flag,atmospheric_pressure.error_description,rh_sensor_temp.value,rh_sensor_temp.error_flag,rh_sensor_temp.error_description,gust_speed.value,gust_speed.error_flag,gust_speed.error_description,vpd.value,vpd.error_flag,vpd.error_description,wind_speed.value,wind_speed.error_flag,wind_speed.error_description,air_temperature.value,air_temperature.error_flag,air_temperature.error_description,vapor_pressure.value,vapor_pressure.error_flag,vapor_pressure.error_description,lightning_activity.value,lightning_activity.error_flag,lightning_activity.error_description,x_axis_level.value,x_axis_level.error_flag,x_axis_level.error_description,y_axis_level.value,y_axis_level.error_flag,y_axis_level.error_description,max_precip_rate.value,max_precip_rate.error_flag,max_precip_rate.error_description,wind_direction.value,wind_direction.error_flag,wind_direction.error_description,solar_radiation.value,solar_radiation.error_flag,solar_radiation.error_description,lightning_distance.value,lightning_distance.error_flag,lightning_distance.error_description,soil_temperature.value,soil_temperature.error_flag,soil_temperature.error_description,bulk_ec.value,bulk_ec.error_flag,bulk_ec.error_description,water_content.value,water_content.error_flag,water_content.error_description,matric_potential.value,matric_potential.error_flag,matric_potential.error_description
z6-19484,ATM-410008161,1,2023-10-01T07:00:00Z,0,FALSE,NA,92.47,FALSE,NA,24.6,FALSE,NA,0.7,FALSE,NA,2.06,FALSE,,0.18,FALSE,NA,24.4,FALSE,NA,1.004,FALSE,NA,0,FALSE,NA,-0.8,FALSE,NA,-0.8,FALSE,NA,0,FALSE,NA,31,FALSE,NA,0,FALSE,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
z6-19484,ATM-410008161,1,2023-10-01T08:00:00Z,0,FALSE,NA,92.49,FALSE,NA,23.5,FALSE,NA,0.82,FALSE,NA,1.93,FALSE,,0.21,FALSE,NA,23.7,FALSE,NA,1.002,FALSE,NA,0,FALSE,NA,-0.9,FALSE,NA,-0.8,FALSE,NA,0,FALSE,NA,27,FALSE,NA,0,FALSE,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
z6-19484,ATM-410008161,1,2023-10-01T09:00:00Z,0,FALSE,NA,92.51,FALSE,NA,22.9,FALSE,NA,0.55,FALSE,NA,1.85,FALSE,,0.19,FALSE,NA,23.1,FALSE,NA,0.981,FALSE,NA,0,FALSE,NA,-0.9,FALSE,NA,-0.8,FALSE,NA,0,FALSE,NA,46,FALSE,NA,0,FALSE,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
z6-19484,ATM-410008161,1,2023-10-01T10:00:00Z,0,FALSE,NA,92.51,FALSE,NA,22.2,FALSE,NA,1.14,FALSE,NA,1.75,FALSE,,0.3,FALSE,NA,22.5,FALSE,NA,0.963,FALSE,NA,0,FALSE,NA,-0.9,FALSE,NA,-0.8,FALSE,NA,0,FALSE,NA,60,FALSE,NA,0,FALSE,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
z6-19484,ATM-410008161,1,2023-10-01T11:00:00Z,0,FALSE,NA,92.53,FALSE,NA,21.3,FALSE,NA,0.88,FALSE,NA,1.58,FALSE,,0.24,FALSE,NA,21.2,FALSE,NA,0.943,FALSE,NA,0,FALSE,NA,-1,FALSE,NA,-0.9,FALSE,NA,0,FALSE,NA,47,FALSE,NA,0,FALSE,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
z6-19484,ATM-410008161,1,2023-10-01T12:00:00Z,0,FALSE,NA,92.56,FALSE,NA,20.1,FALSE,NA,0.98,FALSE,NA,1.43,FALSE,,0.27,FALSE,NA,20.2,FALSE,NA,0.942,FALSE,NA,0,FALSE,NA,-1.1,FALSE,NA,-0.9,FALSE,NA,0,FALSE,NA,352,FALSE,NA,0,FALSE,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
z6-19484,ATM-410008161,1,2023-10-01T13:00:00Z,0,FALSE,NA,92.59,FALSE,NA,19.5,FALSE,NA,1.27,FALSE,NA,1.39,FALSE,,0.36,FALSE,NA,19.8,FALSE,NA,0.908,FALSE,NA,0,FALSE,NA,-1.1,FALSE,NA,-0.9,FALSE,NA,0,FALSE,NA,12,FALSE,NA,0,FALSE,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
z6-19484,ATM-410008161,1,2023-10-01T14:00:00Z,0,FALSE,NA,92.65,FALSE,NA,19.1,FALSE,NA,1.23,FALSE,NA,1.4,FALSE,,0.41,FALSE,NA,19.5,FALSE,NA,0.866,FALSE,NA,0,FALSE,NA,-1.1,FALSE,NA,-0.9,FALSE,NA,0,FALSE,NA,36,FALSE,NA,5,FALSE,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
z6-19484,ATM-410008161,1,2023-10-01T15:00:00Z,0,FALSE,NA,92.7,FALSE,NA,20.1,FALSE,NA,1.14,FALSE,NA,1.6,FALSE,,0.31,FALSE,NA,20.8,FALSE,NA,0.862,FALSE,NA,0,FALSE,NA,-1,FALSE,NA,-0.9,FALSE,NA,0,FALSE,NA,7,FALSE,NA,26,FALSE,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
z6-19484,ATM-410008161,1,2023-10-01T16:00:00Z,0,FALSE,NA,92.73,FALSE,NA,23,FALSE,NA,2.19,FALSE,NA,2.1,FALSE,,0.49,FALSE,NA,23.7,FALSE,NA,0.83,FALSE,NA,0,FALSE,NA,-0.9,FALSE,NA,-0.8,FALSE,NA,0,FALSE,NA,76,FALSE,NA,37.6,FALSE,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
